symbol,avg_turnover_30d
SONACOMS,1204242068.2630436
KEI,1202616961.8391304
PRESTIGE,1194059371.2913043
RADICO,1181225187.4956524
MANAPPURAM,1173078270.2369566
HAVELLS,1157106521.1347826
JUBLFOOD,1154342883.9630437
SUPREMEIND,1152576613.078261
ENRIN,1142955639.2869563
UNOMINDA,1137591649.1869566
JSWENERGY,1125586797.3282611
ASTRAL,1125243069.630435
GMRAIRPORT,1122947394.08
DCBBANK,1113387079.1913044
BSOFT,1108543550.4195654
NBCC,1107974828.66
NEULANDLAB,1107432269.6086955
RVNL,1103160933.971739
CUB,1101766367.2552173
PHOENIXLTD,1091397326.6304345
MPHASIS,1085247426.7086957
PNBHOUSING,1075686428.5847828
SBICARD,1075241318.176087
BAJAJHLDNG,1074590911.347826
WELCORP,1071002165.776087
NHPC,1066483019.9873912
MANKIND,1059061555.5086956
HFCL,1057800138.3765216
NUVAMA,1052312351.0434784
KALAMANDIR,1039523348.0039132
JKTYRE,1039350641.6913044
COLPAL,1038372465.9217392
INTELLECT,1034261594.078261
VMM,1023016409.4604348
APLAPOLLO,1022925659.0608696
OFSS,1012756123.304348
TORNTPHARM,1007492193.4652176
LIQUIDCASE,1005658264.4530432
KIRLOSENG,998263634.9608696
POCL,996883869.7391306
MARICO,982179347.0152172
ECLERX,974580747.3
AMBUJACEM,974002387.5586956
OBEROIRLTY,971093977.1695652
IEX,961840719.5508696
IIFL,949118473.0717392
CCL,946136683.7695652
INOXWIND,944692379.836087
CROMPTON,943830270.5043478
ICICIPRULI,931921614.8065217
GRAPHITE,929282088.9521738
CREDITACC,916557136.7391304
OIL,915829409.8652174
NAM-INDIA,912120705.404348
TARIL,911274114.3760868
PARADEEP,903642992.964348
STAR,901402405.652174
M&MFIN,899137866.5652176
BLACKBUCK,881408872.2521739
360ONE,881017260.9130436
CUPID,877831594.7882607
ARSSBL,873372293.1152173
BOSCHLTD,872371540.2173913
PIIND,867453530.5391304
THANGAMAYL,859334576.5869565
ALKEM,855319113.5434783
MRF,848291366.7391304
GRAVITA,845522832.9652175
BELRISE,844959642.2408696
GPIL,844952966.6734784
TI,842456018.9913043
HUDCO,841845367.9060868
ACUTAAS,826982264.4173914
COROMANDEL,826354199.3130434
PIDILITIND,826002384.6000001
WOCKPHARMA,812515342.5478262
ARIHANTCAP,809851555.8395652
TORNTPOWER,803900689.8000001
IRFC,803606694.2413043
KPITTECH,802614870.326087
SIEMENS,783601423.6826087
TATAELXSI,779736619.9130435
BLUESTARCO,771026582.1521739
